,Id,Name,Tier,Equippable,Total,Armor_Weight
8,"""6917530133013674670""",AION Renewal Cloak,1,Hunter,81,58.65
9,"""6917530133091273570""",AION Renewal Grips,2,Hunter,77,64.75
10,"""6917530133021910128""",AION Renewal Mask,2,Hunter,86,63.75
13,"""6917530133740915205""",AION Renewal Vest,2,Hunter,77,64.75
20,"""6917529547395795940""",Anti-Extinction Vest,0,Hunter,77,66.5
28,"""6917530030932165615""",Assassin's Cowl,0,Hunter,67,67.0
34,"""6917530135205633068""",Bushido Cloak,2,Hunter,81,62.15
36,"""6917530137776580203""",Bushido Cloak,3,Hunter,65,66.2
43,"""6917530137759705151""",Bushido Strides,3,Hunter,65,66.2
47,"""6917530137758097643""",Bushido Vest,3,Hunter,64,66.8
48,"""6917530137766874949""",Bushido Vest,3,Hunter,64,65.2
64,"""6917529876367774430""",Cloak of Trepidation,0,Hunter,17,0.0
74,"""6917529883396750607""",Cyrtarachne's Facade,0,Hunter,83,61.0
78,"""6917530028768298350""",Dark Age Grips,0,Hunter,76,65.5
94,"""6917529525287455070""",Dreambane Vest,0,Hunter,65,67.0
100,"""6917529786503167352""",Eidolon Pursuant Mask,0,Hunter,76,65.5
109,"""6917529472924466343""",Fr0st-EE5,0,Hunter,66,66.0
110,"""6917529878894011472""",Fr0st-EE5,0,Hunter,72,63.5
111,"""6917529691247768774""",Frumious Vest,0,Hunter,86,65.5
112,"""6917530041583144344""",Gemini Jester,0,Hunter,65,65.0
119,"""6917530031287685459""",Gifted Conviction,0,Hunter,86,66.0
120,"""6917530031653727946""",Gifted Conviction,0,Hunter,65,65.0
126,"""6917529908335128275""",Grips of the Great Hunt,0,Hunter,65,66.6
133,"""6917529531268548085""",Icarus Drifter Vest,0,Hunter,77,65.0
134,"""6917529882570877543""",Iron Companion Mask,0,Hunter,77,66.5
135,"""6917530037156633884""",Iron Truage Grips,0,Hunter,66,66.0
142,"""6917530131899654087""",Last Discipline Grasps,2,Hunter,80,61.1
143,"""6917530133444180918""",Last Discipline Grasps,2,Hunter,79,61.7
144,"""6917530133600496677""",Last Discipline Grasps,2,Hunter,87,64.75
145,"""6917530133445937042""",Last Discipline Mask,2,Hunter,85,62.7
147,"""6917529766917020126""",Legacy's Oath Vest,0,Hunter,86,64.0
148,"""6917529766939445642""",Legacy's Oath Vest,0,Hunter,76,65.6
154,"""6917529553535222543""",Lost Pacific Strides,0,Hunter,65,67.0
158,"""6917529866940425397""",Lucky Raspberry,0,Hunter,64,65.6
162,"""6917530135700498739""",Lustrous Casque,3,Hunter,65,66.2
190,"""6917530135642410255""",Lustrous Strides,3,Hunter,66,67.2
191,"""6917530135650879768""",Lustrous Strides,3,Hunter,65,66.2
202,"""6917530137921817418""",Lustrous Strides,3,Hunter,65,66.2
209,"""6917530135704712981""",Lustrous Vest,3,Hunter,66,67.2
224,"""6917530041581019271""",Mask of Bakris,0,Hunter,65,65.0
230,"""6917529892063745022""",Mask of Trepidation,0,Hunter,87,66.5
249,"""6917529905849549560""","NPA ""Weir-Walker"" Strides",0,Hunter,85,64.5
252,"""6917529766939449278""",Oathkeeper,0,Hunter,91,66.0
253,"""6917529720761815255""",Omnioculus,0,Hunter,85,63.0
255,"""6917529499662937647""",Ophidia Spathe,0,Hunter,73,62.6
259,"""6917529517522461829""",Orpheus Rig,0,Hunter,86,64.0
267,"""6917529542252263212""",Prime Zealot Gloves,0,Hunter,65,66.5
268,"""6917529542256321003""",Prime Zealot Strides,0,Hunter,77,66.5
271,"""6917530039620913677""",Promised Reign Cloak,0,Hunter,0,0.0
272,"""6917530032174869217""",Promised Reign Strides,0,Hunter,64,65.5
275,"""6917529497840592737""",Raiden Flux,0,Hunter,64,64.0
276,"""6917529775097373737""",Raiden Flux,0,Hunter,66,66.0
277,"""6917529867603840390""",Raiden Flux,0,Hunter,65,66.8
280,"""6917529508260026068""",Red Moon Phantom Grips,0,Hunter,88,66.0
281,"""6917530028817338485""",Relativism,0,Hunter,88,64.6
282,"""6917530039924049865""",Relativism,0,Hunter,69,64.6
283,"""6917530040005170135""",Relativism,0,Hunter,66,64.6
284,"""6917530040011736060""",Relativism,0,Hunter,83,65.0
285,"""6917530040033688038""",Relativism,0,Hunter,88,65.0
286,"""6917530040337537249""",Relativism,0,Hunter,66,65.0
287,"""6917530040680136654""",Relativism,0,Hunter,88,64.6
288,"""6917530136915573513""",Relativism,2,Hunter,63,64.15
289,"""6917530137883484836""",Relativism,2,Hunter,63,64.15
295,"""6917529733568062347""",Resonant Fury Strides,0,Hunter,64,64.0
302,"""6917529531311622821""",Shards of Galanor,0,Hunter,76,65.5
353,"""6917530043159899191""",Speedloader Slacks,0,Hunter,65,66.5
356,"""6917529738401430945""",Star-Eater Scales,0,Hunter,79,63.8
397,"""6917529903759209934""",Techeun's Regalia Grips,0,Hunter,87,66.6
398,"""6917529907143655606""",Techeun's Regalia Grips,0,Hunter,86,65.5
414,"""6917529903741806896""",Techeun's Regalia Mask,0,Hunter,65,66.5
416,"""6917529903759209699""",Techeun's Regalia Mask,0,Hunter,75,64.5
417,"""6917529903759211095""",Techeun's Regalia Mask,0,Hunter,86,65.6
418,"""6917529907135612283""",Techeun's Regalia Mask,0,Hunter,76,65.5
429,"""6917529903759208585""",Techeun's Regalia Strides,0,Hunter,65,66.5
433,"""6917529903759204795""",Techeun's Regalia Vest,0,Hunter,65,66.5
434,"""6917529907143660840""",Techeun's Regalia Vest,0,Hunter,64,65.5
435,"""6917529907366905106""",Techeun's Regalia Vest,0,Hunter,87,66.6
442,"""6917530137751635258""",Techsec Cloak,3,Hunter,66,67.2
443,"""6917530137836070376""",Techsec Cloak,2,Hunter,60,61.1
445,"""6917530138246439699""",Techsec Cloak,2,Hunter,59,60.1
449,"""6917530137836066553""",Techsec Grasps,3,Hunter,64,65.2
452,"""6917530134286777685""",Techsec Mask,3,Hunter,89,66.3
453,"""6917530137503472550""",Techsec Mask,3,Hunter,64,66.8
455,"""6917530137932176024""",Techsec Mask,3,Hunter,65,66.2
456,"""6917530133071920783""",Techsec Strides,1,Hunter,79,56.6
457,"""6917530133961994199""",Techsec Strides,2,Hunter,88,65.75
461,"""6917530137935890509""",Techsec Strides,2,Hunter,62,63.15
462,"""6917530137939864263""",Techsec Strides,2,Hunter,62,64.75
471,"""6917530043151834304""",The Bombardiers,0,Hunter,64,64.0
475,"""6917530036797159389""",The Dragon's Shadow,0,Hunter,65,65.0
476,"""6917529776672620990""",The Sixth Coyote,0,Hunter,84,67.0
477,"""6917530041581013855""",The Sixth Coyote,0,Hunter,64,65.6
487,"""6917529717098894636""",Tusked Allegiance Grips,0,Hunter,64,65.6
492,"""6917529867169524992""",Tusked Allegiance Mask,0,Hunter,86,65.5
493,"""6917529867677389578""",Tusked Allegiance Mask,0,Hunter,78,66.0
498,"""6917530134302566698""",Twofold Crown Grasps,1,Hunter,80,57.65
499,"""6917530134857444635""",Twofold Crown Grasps,3,Hunter,66,67.2
503,"""6917530031752275957""",Untethered Edge Grips,0,Hunter,65,66.5
509,"""6917530031747708677""",Untethered Edge Vest,0,Hunter,65,66.5
510,"""6917530031749894032""",Untethered Edge Vest,0,Hunter,64,65.6
511,"""6917530031749899544""",Untethered Edge Vest,0,Hunter,65,65.0
527,"""6917529880488023922""",Wolfswood Cloak,0,Hunter,22,0.0
529,"""6917529524467963168""",Young Ahamkara's Spine,0,Hunter,91,66.0
