,Id,Name,Tier,Equippable,Total,Armor_Weight
7,"""6917530131554885891""",AION Renewal Bond,1,Warlock,56,58.65
11,"""6917530131554889891""",AION Renewal Robes,1,Warlock,54,56.1
12,"""6917530131557216374""",AION Renewal Robes,2,Warlock,60,61.1
32,"""6917529879997838763""",Bond of Detestation,0,Warlock,0,0.0
56,"""6917530131554888036""",Chiron's Cure,0,Warlock,48,48.0
66,"""6917529883860110764""",Contraverse Hold,0,Warlock,60,61.5
68,"""6917529547562230070""",Corrupting Echo Bond,0,Warlock,12,0.0
69,"""6917529587987677938""",Corrupting Echo Bond,0,Warlock,12,0.0
77,"""6917530034128488876""",Dark Age Gloves,0,Warlock,61,61.0
82,"""6917530041266996522""",Dark Age Overcoat,0,Warlock,62,62.0
85,"""6917529876309258641""",Deep Explorer Bond,0,Warlock,0,0.0
102,"""6917530034945036063""",Eimin-Tin Ritual Mask,0,Warlock,52,53.5
106,"""6917529871229888061""",Felwinter's Helm,0,Warlock,59,59.0
239,"""6917529902837176739""","NPA ""Weir-Walker"" Bond",0,Warlock,12,0.0
240,"""6917530034924085780""","NPA ""Weir-Walker"" Bond",0,Warlock,0,0.0
261,"""6917529669044334725""",Osmiomancy Gloves,0,Warlock,74,62.0
270,"""6917530037164914166""",Prodigal Robes,0,Warlock,61,61.0
273,"""6917530034879420921""",Promised Victory Hood,0,Warlock,62,62.0
291,"""6917529689759197508""",Resonant Fury Bond,0,Warlock,12,0.0
359,"""6917529876941202419""",Stormdancer's Brace,0,Warlock,61,61.0
367,"""6917529872725544475""",Techeun's Regalia Bond,0,Warlock,0,0.0
470,"""6917530034838975691""",Tesseract Trace IV,0,Warlock,49,49.0
478,"""6917530034961474846""",Thorium Holt Boots,0,Warlock,52,53.5
479,"""6917530034957000370""",Thorium Holt Hood,0,Warlock,53,53.0
482,"""6917529883896678373""",Transversive Steps,0,Warlock,62,62.0
501,"""6917530034959143967""",Untethered Edge Boots,0,Warlock,62,62.0
505,"""6917530034838981410""",Untethered Edge Hood,0,Warlock,52,52.0
506,"""6917530034947578100""",Untethered Edge Hood,0,Warlock,62,62.0
507,"""6917530034959151593""",Untethered Edge Hood,0,Warlock,54,55.6
526,"""6917529880919829290""",Wolfswood Bond,0,Warlock,0,0.0
